======================================================================
Phase 1: CMA-ES Optimization (Seed: 650)
======================================================================
CMA Gen 2200: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2210: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2220: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2230: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2240: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2250: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2260: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2270: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2280: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2290: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2300: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
